year,age,site,plot,subplot,spp,foliage,f1hr,f10hr,f100hr,f1000hr,height
1940,Old,13-12A,8,3,ABLA,0.551746898,0.227189899,0.248827032,0.054092833,0,140
1940,Old,13-12A,8,4,,0,0,0,0,0,0
1940,Old,13-12A,8,5,,0,0,0,0,0,0
1940,Old,13-12A,8,6,,0,0,0,0,0,0
1940,Old,13-12A,9,1,ABLA,0.704558445,0.281823378,0.299437339,0.457962989,0.017613961,173
1940,Old,13-12A,9,2,ABLA,0.579356559,0.238558583,0.261278448,0.056799663,0,143
1940,Old,13-12A,9,2,,0,0,0,0,0,0
1940,Old,13-12A,9,3,ABLA,1.018263612,0.407305445,0.432762035,0.661871348,0.02545659,203
1940,Old,13-12A,9,3,ABLA,0.853261943,0.341304777,0.362636326,0.554620263,0.021331549,188
1940,Old,13-12A,9,3,ABLA,0.631774907,0.252709963,0.268504336,0.41065369,0.015794373,165
1940,Old,13-12A,9,3,ABLA,1.225451938,0.490180775,0.520817074,0.79654376,0.030636298,220
1940,Old,13-12A,9,3,ABLA,0.667605537,0.267042215,0.283732353,0.433943599,0.016690138,169
1940,Old,13-12A,9,3,ABLA,0.895652575,0.35826103,0.380652344,0.582174174,0.022391314,192
1940,Old,13-12A,9,4,ABLA,0.950282142,0.380112857,0.40386991,0.617683392,0.023757054,197
1940,Old,13-12A,9,4,ABLA,0.579356559,0.238558583,0.261278448,0.056799663,0,143
1940,Old,13-12A,9,4,ABLA,0.538960664,0.215584266,0.229058282,0.350324431,0.013474017,154
1940,Old,13-12A,9,4,ABLA,0.695214565,0.278085826,0.29546619,0.451889467,0.017380364,172
1940,Old,13-12A,9,4,ABLA,0.82223004,0.328892016,0.349447767,0.534449526,0.020555751,185
1940,Old,13-12A,9,5,PIEN,0.683931565,0.273572626,0.290670915,0.444555517,0.017098289,180
1940,Old,13-12A,9,6,ABLA,0.563447879,0.225379152,0.239465349,0.366241122,0.014086197,157
1940,Old,13-12A,9,6,ABLA,0.906432214,0.362572886,0.385233691,0.589180939,0.022660805,193
1940,Old,13-12A,10,1,ABLA,1.053253856,0.421301542,0.447632889,0.684615006,0.026331346,206
1940,Old,13-12A,10,2,ABLA,2.503266565,1.001306626,1.06388829,1.627123267,0.062581664,300
1940,Old,13-12A,10,2,ABLA,0.588729575,0.24241806,0.265505495,0.057718586,0,144
1940,Old,13-12A,10,3,ABLA,1.303792818,0.521517127,0.554111948,0.847465332,0.03259482,226
1940,Old,13-12A,10,4,ABLA,1.277373892,0.510949557,0.542883904,0.83029303,0.031934347,224
1940,Old,13-12A,10,4,ABLA,0.676738236,0.270695294,0.28761375,0.439879853,0.016918456,170
1940,Old,13-12A,10,4,ABLA,1.264279071,0.505711628,0.537318605,0.821781396,0.031606977,223
1940,Old,13-12A,10,5,ABLA,1.357550692,0.543020277,0.576959044,0.88240795,0.033938767,230
1940,Old,13-12A,10,5,ABLA,1.100950733,0.440380293,0.467904061,0.715617976,0.027523768,210
1940,Old,13-12A,10,6,ABLA,0.983940709,0.393576284,0.418174801,0.639561461,0.024598518,200
1940,Old,13-60A,1,1,PIEN,1.284426637,0.513770655,0.545881321,0.834877314,0.032110666,230
1940,Old,13-60A,1,2,PIEN,0.500143185,0.205941312,0.22555477,0.049033646,0,145
1940,Old,13-60A,1,2,PIEN,1.145712759,0.458285104,0.486927923,0.744713293,0.028642819,220
1940,Old,13-60A,1,3,ABLA,1.225451938,0.490180775,0.520817074,0.79654376,0.030636298,220
1940,Old,13-60A,1,3,ABLA,1.497350041,0.598940016,0.636373767,0.973277527,0.037433751,240
1940,Old,13-60A,1,3,PIEN,0.590460995,0.236184398,0.250945923,0.383799647,0.014761525,170
1940,Old,13-60A,2,1,,0,0,0,0,0,0
1940,Old,13-60A,2,2,ABLA,4.005852534,1.456673649,2.185010473,3.520294651,0.971115766,400
1940,Old,13-60A,2,3,ABLA,1.644949952,0.657979981,0.69910373,1.069217469,0.041123749,250
1940,Old,13-60A,2,3,ABLA,2.945367591,1.07104276,1.606564141,2.588353338,0.714028507,350
1940,Old,13-60A,3,1,PIEN,0.89671649,0.358686596,0.381104508,0.582865718,0.022417912,200
1940,Old,13-60A,3,1,PIEN,0.89671649,0.358686596,0.381104508,0.582865718,0.022417912,200
1940,Old,13-60A,3,1,PIEN,0.683931565,0.273572626,0.290670915,0.444555517,0.017098289,180
1940,Old,13-60A,3,2,ABLA,0.507265141,0.202906056,0.215587685,0.329722342,0.012681629,150
1940,Old,13-60A,4,1,,0,0,0,0,0,0
1940,Old,13-60A,4,2,ABLA,0.507265141,0.202906056,0.215587685,0.329722342,0.012681629,150
1940,Old,13-60A,4,2,ABLA,2.503266565,1.001306626,1.06388829,1.627123267,0.062581664,300
