Year,Age,Site,Plot,Line,BulkDensity,Veg_Type,Veg.Cat,
1940,Old,13-60A,3,2,0.07686,LS,Shrub,
1940,Old,13-60A,3,2,0,DS,Shrub,
1940,Old,13-60A,3,2,0.1626,LH,Grass/Herb,
1940,Old,13-60A,3,2,0.02496,DH,Grass/Herb,
1940,Old,13-60A,3,2,0.024,LG,Grass/Herb,
1940,Old,13-60A,3,2,0.0144,DG,Grass/Herb,
1940,Old,13-60A,3,2,0,Li,Litter,
1940,Old,14-F03,1,1,0,LS,Shrub,
1940,Old,14-F03,1,1,0,DS,Shrub,
1940,Old,14-F03,1,1,0.306,LH,Grass/Herb,
1940,Old,14-F03,1,1,0.0048,DH,Grass/Herb,
1940,Old,14-F03,1,1,0.0408,LG,Grass/Herb,
1940,Old,14-F03,1,1,0,DG,Grass/Herb,
1940,Old,14-F03,1,1,0,Li,Litter,
1940,Old,14-F03,1,2,0.08784,LS,Shrub,
1940,Old,14-F03,1,2,0,DS,Shrub,
1940,Old,14-F03,1,2,0.1552,LH,Grass/Herb,
1940,Old,14-F03,1,2,0,DH,Grass/Herb,
1940,Old,14-F03,1,2,0.1164,LG,Grass/Herb,
1940,Old,14-F03,1,2,0,DG,Grass/Herb,
1940,Old,14-F03,1,2,0,Li,Litter,
1940,Old,14-F03,2,1,0.14091,LS,Shrub,
1940,Old,14-F03,2,1,0,DS,Shrub,
1940,Old,14-F03,2,1,0.191,LH,Grass/Herb,
1940,Old,14-F03,2,1,0,DH,Grass/Herb,
1940,Old,14-F03,2,1,0.0144,LG,Grass/Herb,
1940,Old,14-F03,2,1,0,DG,Grass/Herb,
1940,Old,14-F03,2,1,0,Li,Litter,
1940,Old,14-F03,2,2,0.25803,LS,Shrub,
1940,Old,14-F03,2,2,0,DS,Shrub,
1940,Old,14-F03,2,2,0.254,LH,Grass/Herb,
1940,Old,14-F03,2,2,0,DH,Grass/Herb,
1940,Old,14-F03,2,2,0.024,LG,Grass/Herb,
1940,Old,14-F03,2,2,0,DG,Grass/Herb,
1940,Old,14-F03,2,2,0,Li,Litter,
1940,Old,14-F03,3,1,0.621285,LS,Shrub,
1940,Old,14-F03,3,1,0.06588,DS,Shrub,
1940,Old,14-F03,3,1,0.358,LH,Grass/Herb,
1940,Old,14-F03,3,1,0,DH,Grass/Herb,
1940,Old,14-F03,3,1,0,LG,Grass/Herb,
1940,Old,14-F03,3,1,0,DG,Grass/Herb,
1940,Old,14-F03,3,1,0,Li,Litter,
1940,Old,14-F03,3,2,0,LS,Shrub,
1940,Old,14-F03,3,2,0,DS,Shrub,
1940,Old,14-F03,3,2,0.26,LH,Grass/Herb,
1940,Old,14-F03,3,2,0,DH,Grass/Herb,
1940,Old,14-F03,3,2,0.0384,LG,Grass/Herb,
1940,Old,14-F03,3,2,0,DG,Grass/Herb,
1940,Old,14-F03,3,2,0,Li,Litter,
1940,Old,13-61A,1,1,0.03294,LS,Shrub,
1940,Old,13-61A,1,1,0,DS,Shrub,
1940,Old,13-61A,1,1,0.234,LH,Grass/Herb,
1940,Old,13-61A,1,1,0.0288,DH,Grass/Herb,
1940,Old,13-61A,1,1,0.0288,LG,Grass/Herb,
1940,Old,13-61A,1,1,0.024,DG,Grass/Herb,
1940,Old,13-61A,1,1,0,Li,Litter,
1940,Old,13-61A,1,2,0.06588,LS,Shrub,
1940,Old,13-61A,1,2,0.06588,DS,Shrub,
1940,Old,13-61A,1,2,0.0192,LH,Grass/Herb,
1940,Old,13-61A,1,2,0,DH,Grass/Herb,
1940,Old,13-61A,1,2,0.0288,LG,Grass/Herb,
1940,Old,13-61A,1,2,0.024,DG,Grass/Herb,
1940,Old,13-61A,1,2,0,Li,Litter,
1940,Old,13-61A,2,1,0.12078,LS,Shrub,
1940,Old,13-61A,2,1,0.06588,DS,Shrub,
1940,Old,13-61A,2,1,0.0516,LH,Grass/Herb,
1940,Old,13-61A,2,1,0,DH,Grass/Herb,
1940,Old,13-61A,2,1,0.0288,LG,Grass/Herb,
1940,Old,13-61A,2,1,0.0192,DG,Grass/Herb,
