year,age,site,plot,plot_size,spp,status,sf,lifol,defol,li1hr,de1hr,li10hr,de10hr,li100hr,de100hr,cbh,lcw,dcw,acfl,cbd,ba_li,ba_gr,ba_ye,ba_nd,ba_tw,ba_br,ba_sn,ba_de
1940,Old,13-60A,3,100,PIEN,Li,S,2.576596751,0,1.384423604,0,1.455940391,0,0.663148109,0,0.8,0.608010886,0.009629031,0.396102036,0.031943713,4.63829895,0,0,0,0,0,0,0
1940,Old,13-60A,3,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.622375,0
1940,Old,13-60A,3,100,PIEN,Li,S,2.665803645,0,1.436609226,0,1.522189976,0,0.714404763,0,1,0.633900761,0.011062459,0.410241287,0.034474058,4.87017855,0,0,0,0,0,0,0
1940,Old,13-61A,1,100,PIEN,Li,S,1.979636617,0,1.042172808,0,1.037782615,0,0.373508395,0,0,0.443310043,0.004293606,0.302180943,0.021355544,3.2051542,0,0,0,0,0,0,0
1940,Old,13-61A,1,100,PIEN,Li,S,2.80026079,0,1.515780311,0,1.623873944,0,0.795803299,0,0,0.673571834,0.00957642,0.43160411,0.026642229,5.2286022,0,0,0,0,0,0,0
1940,Old,13-61A,1,100,PIEN,Li,S,5.325274993,0,3.124509441,0,3.935621982,0,3.489731977,0,1,1.587513839,0.059783426,0.844978443,0.050597512,14.2549398,0,0,0,0,0,0,0
1940,Old,13-61A,1,100,PIEN,De,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.155295
1940,Old,13-61A,1,100,PIEN,De,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15832
1940,Old,13-61A,1,100,PIEN,Br,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7855,0,0
1940,Old,13-61A,1,100,PIEN,De,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71496375
1940,Old,13-61A,1,100,PIEN,Tw,S,0,3.95E-05,0,0.000249927,0,0,0,0,0,0,2.89E-05,1.65E-05,3.50E-06,0,0,0,0,0.1520728,0,0,0
1940,Old,13-61A,1,100,PIEN,Li,S,1.713099191,0,0.893277826,0,0.86546241,0,0.272414142,0,0,0.374425357,0.003107954,0.260637702,0.018354768,2.63056095,0,0,0,0,0,0,0
1940,Old,13-61A,2,100,PIEN,Li,S,2.414092781,0,1.290056633,0,1.337755264,0,0.57525964,0,0,0.561716432,0.006759956,0.370414941,0.024369404,4.2278752,0,0,0,0,0,0,0
1940,Old,13-61A,2,100,PIEN,Br,S,0,0,0,0.150678443,0,2.584663281,0,0.950427087,1,0,0.368577694,0.007533922,0.000276982,0,0,0,0,0,45.1320022,0,0
1940,Old,13-61A,2,100,PIEN,Li,S,0.937734865,0,0.474246284,0,0.417207436,0,0.069180479,0,0,0.189836906,0.000839725,0.141198115,0.021074345,1.18838295,0,0,0,0,0,0,0
1940,Old,13-61A,2,100,PIEN,Li,S,5.310700455,0,3.114501081,0,3.920111274,0,3.466169417,0,1.2,1.581148223,0.061942872,0.842520154,0.052007417,14.18809375,0,0,0,0,0,0,0
1940,Old,13-61A,2,100,PIEN,Tw,S,0,0.018946983,0,0.010675025,0,0.150361615,0,0.003953088,2.5,0,0.018393712,0.00242845,0.000183973,0,0,0,0,5.51617375,0,0,0
1940,Old,13-61A,2,100,PIEN,Li,S,0.855970074,0,0.431335735,0,0.374802759,0,0.05531037,0,0.2,0.171741894,0.000760984,0.128730581,0.018522386,1.0569688,0,0,0,0,0,0,0
1940,Old,13-61A,2,100,PIEN,Br,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24346655,0,0
1940,Old,13-61A,2,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01088,0
1940,Old,13-61A,2,100,PIEN,De,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.155295
1940,Old,13-61A,3,100,PIEN,Li,S,1.740778478,0,0.908627015,0,0.882936379,0,0.282140887,0,0,0.381448276,0.003217749,0.264940549,0.020071254,2.68837375,0,0,0,0,0,0,0
1940,Old,13-61A,3,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.20728,0
1940,Old,13-61A,3,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.204255,0
1940,Old,13-61A,3,100,PIEN,Li,S,0.258358121,0,0.126113488,0,0.095044193,0,0,0,0,0.04795158,6.02E-05,0.038447161,0.006745116,0.23761375,0,0,0,0,0,0,0
1940,Old,13-61A,3,100,PIEN,Li,S,0.563268325,0,0.279893288,0,0.231349441,0,0.017321464,0,0,0.109183252,0.000290475,0.084316161,0.016214646,0.62219455,0,0,0,0,0,0,0
1940,Old,14-F03,1,100,PIEN,Sn,S,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,30.48753295,0
1940,Old,14-F03,1,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.21638,0
1940,Old,14-F03,1,100,PIEN,Sn,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04352,0
1940,Old,14-F03,1,100,PIEN,Li,S,0,0,0,0,0,0,0,0,0.6,0.973381914,0,0,0,6.15832,0,0,0,0,0,0,0
1940,Old,14-F03,2,100,PIEN,Sn,S,0,0,0,0,0,0,0,0,1.18,0,0.004475186,0,0,0,0,0,0,0,0,8.6580952,0
1940,Old,14-F03,2,100,PIEN,Li,S,0,0,0,0,0,0,0,0,1.75,1.036612729,0.439867865,0,0,2.19068095,0,0,0,0,0,0,0
1940,Old,14-F03,2,100,PIEN,Li,S,1.495296952,0,0.773421505,0,0.731419924,0,0.201962046,0,0.7,0.320210043,0.105235034,0.226871846,0.028537339,1.03882375,0,0,0,0,0,0,0
1940,Old,14-F03,2,100,PIEN,Li,S,0.844471376,0,0.425321783,0,0.368918499,0,0.053473561,0,2,0.169218522,2.62E-05,0.126979316,0.042326439,11.1050848,0,0,0,0,0,0,0
1940,Old,14-F03,2,100,PIEN,Li,S,4.58542569,0,2.627780389,0,3.179757837,0,2.430932729,0,0.7,1.282389664,5.444032799,0.721320608,0.072132061,0.49023055,0,0,0,0,0,0,0
1940,Old,14-F03,2,100,PIEN,Li,S,0.465337954,0,0.230027307,0,0.186454115,0,0.008738492,0,1.2,0.089055787,0.002312758,0.069536526,0.02781461,0.3019462,0,0,0,0,0,0,0
1940,Old,14-F03,2,100,PIEN,Li,S,0.314259183,0,0.153967136,0,0.120280774,0,0,0,0.3,0.058850709,8.18E-07,0.046822632,0.031215088,4.11924055,0,0,0,0,0,0,0
