Height,Old 1940,Old 1960,Old 1990,Old 2000,Old 2010,Old Endemic,Young 1990,Young 2000,Young 2010,Young Endemic
32,0,3.67847E-05,0,0,0,0.004370261,3.8288E-05,0,2.16913E-05,0
32.25,0,3.67847E-05,0,0,0,0.00382305,3.22664E-05,0,1.44609E-05,0
32.5,0,3.67847E-05,0,0,0,0.002911033,2.99942E-05,0,0,0
32.75,0,3.67847E-05,0,0,0,0.002183275,2.69645E-05,0,0,0
33,0,0,0,0,0,0,1.89358E-05,0,0,0
33.25,0,0,0,0,0,0,1.0907E-05,0,0,0
33.5,0,0,0,0,0,0,5.45352E-06,0,0,0
33.75,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,0,0,0
