Year,Age,Site,Plot,n1,n10,n100,dsq100,fl1,fl10,fl100,nS1000,dsqS1000,flS1000,nR1000,dsqR1000,flR1000
2010,Old,13-103A,3,56,11,6,17.22,1.692062352,8.281991371,35.54024407,4,25.7049,4.69488257,3,489.3057,67.02708829
Endemic,Old,13-06B,1,36,8,4,11.48,1.13606656,6.290787508,24.74583354,3,71.487,13.63668559,2,551.3625,78.88242332
Endemic,Old,13-06B,2,68,20,4,11.48,2.145903502,15.72696877,24.74583354,2,40.800825,7.783065768,3,349.29765,49.97337521
Endemic,Old,13-06B,3,85,16,5,14.35,2.682379378,12.58157502,30.93229192,2,95.5188,18.22093309,1,9.7344,1.392682784
Endemic,Old,13-07F,1,192,30,14,40.18,5.543005073,21.58137221,79.23424117,9,268.1523,46.79571135,8,1857.141,243.0696124
Endemic,Old,13-07F,2,67,23,0,0,1.934277812,16.54571869,0,6,259.976925,45.36901284,6,257.8095,33.74307888
Endemic,Old,13-07F,3,94,12,1,2.87,2.7137629,8.632548884,5.659588655,4,575.0901,100.3599459,5,271.6506,35.5546542
Endemic,Old,13-07B,1,123,15,2,5.74,3.881560746,11.79522658,12.37291677,4,211.03875,40.25723673,5,818.9064,117.1594392
Endemic,Old,13-07B,2,65,22,0,0,2.051231289,17.29966565,0,12,509.535,97.19765264,1,29.8116,4.265091026
Endemic,Old,13-07B,3,127,6,2,5.74,4.007790364,4.718090631,12.37291677,6,850.239,162.1895159,4,90.993825,13.01831993
Endemic,Old,13-107A,1,114,8,2,5.74,3.280677836,5.736704413,11.28312888,2,298.2681,51.88550174,1,10.989225,1.433730559
Endemic,Old,13-107A,2,45,6,2,5.74,1.295004409,4.30252831,11.28312888,0,0,0,4,141.338925,18.44005705
Endemic,Old,13-107A,3,45,0,0,0,1.295004409,0,0,0,0,0,0,0,0
1990,Young,13-30C,1,47,11,3,8.61,1.352560161,7.887968568,16.92469332,12,198.6426,34.55505623,12,523.0719,68.24359019
1990,Young,13-30C,2,46,11,4,11.48,1.323782285,7.887968568,22.56625777,32,653.7258,113.719473,2,15.21,1.984402157
1990,Young,13-30C,3,11,0,0,0,0.316556633,0,0,45,556.5339,96.81236659,19,1009.6398,131.7246152
1990,Young,13-31C,1,15,2,0,0,0.461784038,1.534233306,0,5,309.105225,57.52206704,2,21.9024,3.056899122
1990,Young,13-31C,2,3,0,2,5.74,0.092356808,0,12.07031137,1,21.9024,4.075865496,0,0,0
